beta,sigma,kappa,phi_pi,phi_x,sig_d,sig_s,sig_m
0.9966319086193369,2.4939213080422977,0.40292981966688945,1.132769514315748,0.19084182483838188,3.256800566731131,2.241886772644122,1.6845975504223012
0.9966319086193369,2.4939213080422977,0.40292981966688945,1.132769514315748,0.19084182483838188,3.256800566731131,2.241886772644122,1.6845975504223012
0.9966042266878536,2.55143671864219,0.3887447392755915,1.1151928196012348,0.16876183357787714,3.1758088977750165,2.2260506287974984,1.7280823004410637
0.9966042266878536,2.55143671864219,0.3887447392755915,1.1151928196012348,0.16876183357787714,3.1758088977750165,2.2260506287974984,1.7280823004410637
0.9968467054881128,2.7520639510859186,0.4171599387211836,1.0732222718752047,0.14868678854743386,3.104984055596166,2.086679168730904,1.7986719929025616
0.9967650773334696,2.573965713971239,0.424007425775887,1.0497527093408399,0.13688651490720802,3.4033253442152107,2.009758788704,1.7510137090579647
0.9967650773334696,2.573965713971239,0.424007425775887,1.0497527093408399,0.13688651490720802,3.4033253442152107,2.009758788704,1.7510137090579647
0.9967650773334696,2.573965713971239,0.424007425775887,1.0497527093408399,0.13688651490720802,3.4033253442152107,2.009758788704,1.7510137090579647
0.9967192735282893,2.5726063339386016,0.40150566464075615,1.0504196109134802,0.14175332750142172,3.6542066480520967,2.245801749457061,1.8104418014378292
0.9965381664315812,2.2395061250400086,0.42034918476730254,1.1354777648163905,0.1463194523485221,3.2729147047885685,2.300010932146369,1.5939095431109724
0.9965107929320468,2.4605209786850297,0.4113925309731147,1.0331402102991072,0.15836048581324486,3.3461838495761476,2.233473933825292,1.7600315723128337
0.9965107929320468,2.4605209786850297,0.4113925309731147,1.0331402102991072,0.15836048581324486,3.3461838495761476,2.233473933825292,1.7600315723128337
0.9965107929320468,2.4605209786850297,0.4113925309731147,1.0331402102991072,0.15836048581324486,3.3461838495761476,2.233473933825292,1.7600315723128337
0.9965107929320468,2.4605209786850297,0.4113925309731147,1.0331402102991072,0.15836048581324486,3.3461838495761476,2.233473933825292,1.7600315723128337
0.9965107929320468,2.4605209786850297,0.4113925309731147,1.0331402102991072,0.15836048581324486,3.3461838495761476,2.233473933825292,1.7600315723128337
0.9962416443288487,2.6144504462365608,0.42193212201579755,1.0040007735232441,0.1731538032875026,3.1380145512986117,2.113713729381899,1.858306950630567
0.9964838978779971,2.4670045974785992,0.40201055431608745,1.07010431844005,0.16413997771754402,2.908581340409382,2.245738894871548,1.7579417008399547
0.9964838978779971,2.4670045974785992,0.40201055431608745,1.07010431844005,0.16413997771754402,2.908581340409382,2.245738894871548,1.7579417008399547
0.996205984374259,2.60151939504569,0.3892092632618743,1.091775061009418,0.1461945083064707,2.7982800634454117,2.2041356352773898,1.9170545592271024
0.9959011088800257,2.793077606640533,0.40832884902158595,1.0257923953528885,0.15218295230423942,2.773110928521171,2.139398454633527,1.8504954163697838
0.9962718203851108,2.6581445660231093,0.38594622506744375,1.106417838990189,0.14528784726904587,2.703691836837967,2.2427039106556195,2.0195989576158175
0.9964510709338407,2.9040129960913004,0.3681872075613993,1.0769061222777647,0.12062476821489523,2.9123483073119716,2.1625504753510536,2.168937271860053
0.9967987731683159,2.5164558170797733,0.3573615215239549,1.0846478758106126,0.12992855173360968,2.92584164145888,2.3868504105278627,2.3396445390529745
0.9967987731683159,2.5164558170797733,0.3573615215239549,1.0846478758106126,0.12992855173360968,2.92584164145888,2.3868504105278627,2.3396445390529745
