h,gamma_pi,rho_i,phi_pi,phi_x,rho_z,rho_u,rho_m,sig_z,sig_u,sig_m
0.6564104363364317,0.3010202983522467,0.7546956233470806,1.7232772288666371,0.247206380441919,0.7574244598899438,0.6045723200857056,0.35601753341648323,0.1906844655855921,0.12979446777373466,0.08124474291750036
0.6564104363364317,0.3010202983522467,0.7546956233470806,1.7232772288666371,0.247206380441919,0.7574244598899438,0.6045723200857056,0.35601753341648323,0.1906844655855921,0.12979446777373466,0.08124474291750036
0.6564104363364317,0.3010202983522467,0.7546956233470806,1.7232772288666371,0.247206380441919,0.7574244598899438,0.6045723200857056,0.35601753341648323,0.1906844655855921,0.12979446777373466,0.08124474291750036
0.6564104363364317,0.3010202983522467,0.7546956233470806,1.7232772288666371,0.247206380441919,0.7574244598899438,0.6045723200857056,0.35601753341648323,0.1906844655855921,0.12979446777373466,0.08124474291750036
0.6548213042348873,0.30085109081169226,0.7511046668208604,1.729184206495674,0.24722675784121684,0.7566131817736372,0.6056101945895905,0.3593104075175677,0.1918868929287611,0.13009284103359892,0.08172777043214982
0.6549615648409,0.2966021328301051,0.7548996184885766,1.7360351203526834,0.24707887710440987,0.757241255036038,0.6019049033665472,0.3601676681932259,0.19614189906100787,0.12865667299430694,0.08147393672983372
0.6549615648409,0.2966021328301051,0.7548996184885766,1.7360351203526834,0.24707887710440987,0.757241255036038,0.6019049033665472,0.3601676681932259,0.19614189906100787,0.12865667299430694,0.08147393672983372
0.6549615648409,0.2966021328301051,0.7548996184885766,1.7360351203526834,0.24707887710440987,0.757241255036038,0.6019049033665472,0.3601676681932259,0.19614189906100787,0.12865667299430694,0.08147393672983372
0.6549615648409,0.2966021328301051,0.7548996184885766,1.7360351203526834,0.24707887710440987,0.757241255036038,0.6019049033665472,0.3601676681932259,0.19614189906100787,0.12865667299430694,0.08147393672983372
0.6549615648409,0.2966021328301051,0.7548996184885766,1.7360351203526834,0.24707887710440987,0.757241255036038,0.6019049033665472,0.3601676681932259,0.19614189906100787,0.12865667299430694,0.08147393672983372
0.6539898788592141,0.2989445417809937,0.7551803432460736,1.7402983008647515,0.2449918511911838,0.7592295627229733,0.6020421953526162,0.35914889267481903,0.1931490861823894,0.13026666958418584,0.08006343199043756
0.6539898788592141,0.2989445417809937,0.7551803432460736,1.7402983008647515,0.2449918511911838,0.7592295627229733,0.6020421953526162,0.35914889267481903,0.1931490861823894,0.13026666958418584,0.08006343199043756
0.6539898788592141,0.2989445417809937,0.7551803432460736,1.7402983008647515,0.2449918511911838,0.7592295627229733,0.6020421953526162,0.35914889267481903,0.1931490861823894,0.13026666958418584,0.08006343199043756
