rho_i,phi_pi,phi_x,phi_q,rho_q,rho_r,rho_u,rho_m,sig_q,sig_r,sig_u,sig_m
0.7953348795741523,1.5407779218687858,0.19552152974000242,0.09580683349695417,0.7664697328439745,0.794603898659556,0.5213726809440922,0.2907953577558369,0.10122510342892134,0.15251766256936963,0.10670266736734395,0.06685159257030561
0.7953348795741523,1.5407779218687858,0.19552152974000242,0.09580683349695417,0.7664697328439745,0.794603898659556,0.5213726809440922,0.2907953577558369,0.10122510342892134,0.15251766256936963,0.10670266736734395,0.06685159257030561
0.7953348795741523,1.5407779218687858,0.19552152974000242,0.09580683349695417,0.7664697328439745,0.794603898659556,0.5213726809440922,0.2907953577558369,0.10122510342892134,0.15251766256936963,0.10670266736734395,0.06685159257030561
0.7953348795741523,1.5407779218687858,0.19552152974000242,0.09580683349695417,0.7664697328439745,0.794603898659556,0.5213726809440922,0.2907953577558369,0.10122510342892134,0.15251766256936963,0.10670266736734395,0.06685159257030561
0.7953348795741523,1.5407779218687858,0.19552152974000242,0.09580683349695417,0.7664697328439745,0.794603898659556,0.5213726809440922,0.2907953577558369,0.10122510342892134,0.15251766256936963,0.10670266736734395,0.06685159257030561
0.7950902734893104,1.5338982372562953,0.19975832917549768,0.09374077172145373,0.7615626473050406,0.7922396363663541,0.5171761750701047,0.29467870746445246,0.10161058408819859,0.15238733634983176,0.10745395795035664,0.06632785039388937
0.7956195249298464,1.537591664877318,0.20452884873471006,0.09263681779131056,0.7556919503606453,0.7935868083972499,0.519084238136538,0.2988550607504431,0.0999995996876618,0.152283091838496,0.10944834125661475,0.06806429212939723
0.7956195249298464,1.537591664877318,0.20452884873471006,0.09263681779131056,0.7556919503606453,0.7935868083972499,0.519084238136538,0.2988550607504431,0.0999995996876618,0.152283091838496,0.10944834125661475,0.06806429212939723
0.7956195249298464,1.537591664877318,0.20452884873471006,0.09263681779131056,0.7556919503606453,0.7935868083972499,0.519084238136538,0.2988550607504431,0.0999995996876618,0.152283091838496,0.10944834125661475,0.06806429212939723
0.7956195249298464,1.537591664877318,0.20452884873471006,0.09263681779131056,0.7556919503606453,0.7935868083972499,0.519084238136538,0.2988550607504431,0.0999995996876618,0.152283091838496,0.10944834125661475,0.06806429212939723
0.7956195249298464,1.537591664877318,0.20452884873471006,0.09263681779131056,0.7556919503606453,0.7935868083972499,0.519084238136538,0.2988550607504431,0.0999995996876618,0.152283091838496,0.10944834125661475,0.06806429212939723
