sig_d,sig_s,sig_m,beta,sigma,kappa,phi_pi,phi_x,log_posterior
2.884909659926752,2.134485062547963,2.027699277888845,0.9936578670330063,2.2080821167364437,0.18463016216662081,1.0500642837871994,0.2335316423645692,-591.1922069437776
3.0206907881062417,2.1993033561603195,2.0674696953916407,0.9959692025551321,2.4559285000492053,0.18707207910459892,1.0087966088481912,0.2421936136255903,-589.8886602787323
3.342426923727023,2.338053176665386,2.144538967750863,0.9924570397458673,2.3354448192210335,0.20634443800359756,1.055249564754295,0.28278889138022684,-589.9100557054905
3.437986870657661,2.2848275616291174,2.180439436394805,0.9906649715392193,2.0991180107981404,0.2132493251109393,1.0391885783332728,0.2963182244826546,-590.130801765388
3.437986870657661,2.2848275616291174,2.180439436394805,0.9906649715392193,2.0991180107981404,0.2132493251109393,1.0391885783332728,0.2963182244826546,-590.130801765388
3.437986870657661,2.2848275616291174,2.180439436394805,0.9906649715392193,2.0991180107981404,0.2132493251109393,1.0391885783332728,0.2963182244826546,-590.130801765388
2.9986589925510048,2.233494455164886,2.1133516914875012,0.9900007174736002,2.430133759337453,0.26181385075534863,1.019534369313411,0.2624353080672738,-589.1780002538493
2.9986589925510048,2.233494455164886,2.1133516914875012,0.9900007174736002,2.430133759337453,0.26181385075534863,1.019534369313411,0.2624353080672738,-589.1780002538493
2.9986589925510048,2.233494455164886,2.1133516914875012,0.9900007174736002,2.430133759337453,0.26181385075534863,1.019534369313411,0.2624353080672738,-589.1780002538493
2.9986589925510048,2.233494455164886,2.1133516914875012,0.9900007174736002,2.430133759337453,0.26181385075534863,1.019534369313411,0.2624353080672738,-589.1780002538493
2.9986589925510048,2.233494455164886,2.1133516914875012,0.9900007174736002,2.430133759337453,0.26181385075534863,1.019534369313411,0.2624353080672738,-589.1780002538493
2.9211112969216213,2.2143042271105657,2.0499591930997303,0.9921367069904926,2.3623184746407278,0.24576644874859008,1.0230219345480007,0.2424282149153764,-589.0815207979605
2.9211112969216213,2.2143042271105657,2.0499591930997303,0.9921367069904926,2.3623184746407278,0.24576644874859008,1.0230219345480007,0.2424282149153764,-589.0815207979605
2.9211112969216213,2.2143042271105657,2.0499591930997303,0.9921367069904926,2.3623184746407278,0.24576644874859008,1.0230219345480007,0.2424282149153764,-589.0815207979605
